State,Year,Quarter,District_name,Insurance_count,Insurance_amount
Andhra Pradesh,2024,4,Sri Potti Sriramulu Nellore District,3193.0,4050293.0
Andhra Pradesh,2024,4,Kurnool District,1371.0,2100914.0
Andhra Pradesh,2024,4,Guntur District,4159.0,5517638.0
Andhra Pradesh,2024,4,Krishna District,1706.0,2112206.0
Andhra Pradesh,2024,4,Annamayya District,1343.0,2036321.0
Andhra Pradesh,2024,4,Ananthapuramu District,1672.0,2619784.0
Andhra Pradesh,2024,4,Vizianagaram District,1926.0,1988306.0
Andhra Pradesh,2024,4,Tirupati District,4169.0,6081241.0
Andhra Pradesh,2024,4,Alluri Sitharama Raju District,359.0,401184.0
Andhra Pradesh,2024,4,Nandyal District,911.0,1339586.0
Andhra Pradesh,2024,4,Sri Sathyasai District,1032.0,1634709.0
Andhra Pradesh,2024,4,Palnadu District,1417.0,1540990.0
Andhra Pradesh,2024,4,Prakasam District,2499.0,2645564.0
Andhra Pradesh,2024,4,Parvathipuram Manyam District,452.0,451326.0
Andhra Pradesh,2024,4,Dr Br Ambedkar Konaseema District,1203.0,1374247.0
Andhra Pradesh,2024,4,Bapatla District,1175.0,1540112.0
Andhra Pradesh,2024,4,Ntr District,7077.0,8504106.0
Andhra Pradesh,2024,4,Kakinada District,2905.0,3879273.0
Andhra Pradesh,2024,4,Anakapalli District,2018.0,2214934.0
Andhra Pradesh,2024,4,Ysr District,1792.0,2640383.0
Andhra Pradesh,2024,4,West Godavari District,1534.0,1956650.0
Andhra Pradesh,2024,4,Eluru District,1638.0,2188266.0
Andhra Pradesh,2024,4,Chittoor District,1604.0,2639312.0
Arunachal Pradesh,2020,2,Lower Dibang Valley District,2.0,513.0
Arunachal Pradesh,2020,2,West Kameng District,2.0,513.0
Arunachal Pradesh,2020,2,Lower Subansiri District,1.0,231.0
Arunachal Pradesh,2020,2,West Siang District,5.0,1124.0
Arunachal Pradesh,2020,2,Kamle District,1.0,298.0
Arunachal Pradesh,2020,2,East Siang District,2.0,469.0
Arunachal Pradesh,2020,2,Tirap District,5.0,1026.0
Arunachal Pradesh,2020,2,Lepa Rada District,1.0,282.0
Arunachal Pradesh,2020,2,Tawang District,3.0,827.0
Arunachal Pradesh,2020,2,Namsai District,1.0,231.0
Arunachal Pradesh,2020,2,Papum Pare District,33.0,6304.0
Arunachal Pradesh,2020,2,Changlang District,9.0,2511.0
Arunachal Pradesh,2020,3,Lower Dibang Valley District,4.0,843.0
Arunachal Pradesh,2020,3,Lower Subansiri District,1.0,662.0
Arunachal Pradesh,2020,3,Longding District,1.0,166.0
Arunachal Pradesh,2020,3,West Siang District,5.0,2052.0
Arunachal Pradesh,2020,3,Kamle District,1.0,166.0
Arunachal Pradesh,2020,3,Upper Siang District,1.0,281.0
Arunachal Pradesh,2020,3,Tirap District,3.0,939.0
Arunachal Pradesh,2020,3,Papum Pare District,60.0,15776.0
Arunachal Pradesh,2020,3,Siang District,1.0,184.0
Arunachal Pradesh,2020,3,Lower Siang District,1.0,662.0
Arunachal Pradesh,2020,3,Changlang District,2.0,364.0
Arunachal Pradesh,2020,3,Dibang Valley District,3.0,66.0
Arunachal Pradesh,2020,3,West Kameng District,12.0,3466.0
Arunachal Pradesh,2020,3,East Siang District,22.0,9675.0
Arunachal Pradesh,2020,3,Upper Subansiri District,2.0,66.0
Arunachal Pradesh,2020,3,East Kameng District,2.0,695.0
Arunachal Pradesh,2020,3,Lohit District,9.0,1557.0
Arunachal Pradesh,2020,3,Lepa Rada District,1.0,548.0
Arunachal Pradesh,2020,3,Tawang District,1.0,33.0
Arunachal Pradesh,2020,3,Namsai District,3.0,1486.0
Arunachal Pradesh,2020,4,Lower Dibang Valley District,9.0,1981.0
Arunachal Pradesh,2020,4,Lower Subansiri District,1.0,32.0
Arunachal Pradesh,2020,4,West Siang District,1.0,162.0
Arunachal Pradesh,2020,4,Tirap District,4.0,1561.0
Arunachal Pradesh,2020,4,Papum Pare District,48.0,21298.0
Arunachal Pradesh,2020,4,Siang District,2.0,691.0
Arunachal Pradesh,2020,4,Lower Siang District,1.0,33.0
Arunachal Pradesh,2020,4,Changlang District,7.0,5505.0
Arunachal Pradesh,2020,4,Pakke Kessang District,2.0,1017.0
Arunachal Pradesh,2020,4,Dibang Valley District,1.0,2967.0
Arunachal Pradesh,2020,4,West Kameng District,15.0,22182.0
Arunachal Pradesh,2020,4,East Siang District,10.0,8075.0
Arunachal Pradesh,2020,4,Upper Subansiri District,2.0,1154.0
Arunachal Pradesh,2020,4,East Kameng District,1.0,32.0
Arunachal Pradesh,2020,4,Lohit District,5.0,4148.0
Arunachal Pradesh,2020,4,Lepa Rada District,3.0,2685.0
Arunachal Pradesh,2020,4,Tawang District,10.0,9740.0
Arunachal Pradesh,2020,4,Namsai District,3.0,984.0
Arunachal Pradesh,2021,1,Lower Dibang Valley District,5.0,4680.0
Arunachal Pradesh,2021,1,Lower Subansiri District,2.0,5103.0
Arunachal Pradesh,2021,1,Longding District,2.0,1334.0
Arunachal Pradesh,2021,1,West Siang District,7.0,3690.0
Arunachal Pradesh,2021,1,Kamle District,1.0,167.0
Arunachal Pradesh,2021,1,Upper Siang District,5.0,900.0
Arunachal Pradesh,2021,1,Tirap District,7.0,7696.0
Arunachal Pradesh,2021,1,Papum Pare District,65.0,62651.0
Arunachal Pradesh,2021,1,Siang District,2.0,136.0
Arunachal Pradesh,2021,1,Lower Siang District,5.0,733.0
Arunachal Pradesh,2021,1,Kra Daadi District,2.0,366.0
Arunachal Pradesh,2021,1,Changlang District,12.0,4524.0
Arunachal Pradesh,2021,1,Pakke Kessang District,2.0,415.0
Arunachal Pradesh,2021,1,Dibang Valley District,1.0,669.0
Arunachal Pradesh,2021,1,West Kameng District,15.0,9871.0
Arunachal Pradesh,2021,1,East Siang District,18.0,8695.0
Arunachal Pradesh,2021,1,Upper Subansiri District,7.0,4237.0
Arunachal Pradesh,2021,1,East Kameng District,4.0,132.0
Arunachal Pradesh,2021,1,Lohit District,11.0,2951.0
Arunachal Pradesh,2021,1,Lepa Rada District,2.0,1258.0
Arunachal Pradesh,2021,1,Tawang District,11.0,10155.0
Arunachal Pradesh,2021,1,Namsai District,8.0,1248.0
Arunachal Pradesh,2021,2,Lower Dibang Valley District,14.0,8091.0
Arunachal Pradesh,2021,2,Lower Subansiri District,10.0,4236.0
Arunachal Pradesh,2021,2,West Siang District,18.0,8990.0
Arunachal Pradesh,2021,2,Upper Siang District,1.0,210.0
Arunachal Pradesh,2021,2,Tirap District,1.0,1405.0
Arunachal Pradesh,2021,2,Papum Pare District,69.0,89335.0
Arunachal Pradesh,2021,2,Kurung Kumey District,2.0,94.0
Arunachal Pradesh,2021,2,Anjaw District,2.0,19882.0
