State,Year,Quarter,District_name,Transaction_count,Transaction_amount
Andhra Pradesh,2021,4,Anantapur District,36129136,81239787006.64764
Andhra Pradesh,2021,4,Ysr District,26340348,69081850069.2033
Andhra Pradesh,2021,4,West Godavari District,33235175,81292461575.08182
Andhra Pradesh,2021,4,Kurnool District,31782248,73968947669.64754
Andhra Pradesh,2021,4,Chittoor District,51119640,103985734663.73514
Andhra Pradesh,2021,4,Guntur District,50919286,115553993673.17337
Andhra Pradesh,2021,4,Krishna District,55489829,125015323207.89836
Andhra Pradesh,2022,1,East Godavari District,54738830,121067103712.79568
Andhra Pradesh,2022,1,Srikakulam District,20990782,46898912115.649216
Andhra Pradesh,2022,1,Spsr Nellore District,47645702,104895571602.13988
Andhra Pradesh,2022,1,Vizianagaram District,19278262,41994853361.58879
Andhra Pradesh,2022,1,Visakhapatnam District,88233362,170120350591.26004
Andhra Pradesh,2022,1,Prakasam District,31340975,79494373254.71565
Andhra Pradesh,2022,1,Anantapur District,40613148,90197023268.43825
Andhra Pradesh,2022,1,Ysr District,29783739,78421693518.90942
Andhra Pradesh,2022,1,West Godavari District,37271259,92397939903.60938
Andhra Pradesh,2022,1,Kurnool District,35093633,81568420500.54749
Andhra Pradesh,2022,1,Chittoor District,58561024,117900595508.634
Andhra Pradesh,2022,1,Guntur District,57226996,129673727687.08942
Andhra Pradesh,2022,1,Krishna District,61826199,139690081529.49048
Andhra Pradesh,2022,2,East Godavari District,62072845,135531452997.6391
Andhra Pradesh,2022,2,Srikakulam District,23727353,53754764122.4327
Andhra Pradesh,2022,2,Spsr Nellore District,54838708,121941082043.49483
Andhra Pradesh,2022,2,Vizianagaram District,21766135,47294745020.495636
Andhra Pradesh,2022,2,Visakhapatnam District,101387402,193242841582.14285
Andhra Pradesh,2022,2,Prakasam District,36163507,90435082545.97766
Andhra Pradesh,2022,2,Anantapur District,46099366,102138758015.76915
Andhra Pradesh,2022,2,Ysr District,33154559,87601310069.59737
Andhra Pradesh,2022,2,West Godavari District,44409239,107973244960.42824
Andhra Pradesh,2022,2,Kurnool District,40165692,92409350855.50198
Andhra Pradesh,2022,2,Chittoor District,67507661,136435445124.75616
Andhra Pradesh,2022,2,Guntur District,66315749,147098141568.7623
Andhra Pradesh,2022,2,Krishna District,73525814,163997729295.93134
Andhra Pradesh,2022,3,East Godavari District,61467134,129677722169.74829
Andhra Pradesh,2022,3,Srikakulam District,22126541,46899962921.785614
Andhra Pradesh,2022,3,Spsr Nellore District,42116582,95099325968.25972
Andhra Pradesh,2022,3,Vizianagaram District,20440645,42513313394.84207
Andhra Pradesh,2022,3,Visakhapatnam District,97434546,181124419863.61444
Andhra Pradesh,2022,3,Prakasam District,35376080,87475230073.46387
Andhra Pradesh,2022,3,Anantapur District,45165363,97735649608.10074
Andhra Pradesh,2022,3,Ysr District,33119038,86016932181.12372
Andhra Pradesh,2022,3,West Godavari District,43635951,101706854744.31876
Andhra Pradesh,2022,3,Kurnool District,39557913,88415335176.31995
Andhra Pradesh,2022,3,Chittoor District,65751781,133053581631.6395
Andhra Pradesh,2022,3,Guntur District,65612317,141588522953.23773
